type,name,products_description,metaDescription,metaImage,metaTitle,price,image,category,product_short_description,brands,Product_Video1,Product_Video2,Product_Video3,Product_Video4
simple,High performance light barrier- OEP12V5000G1-IBSL,"Unbox Industry presents High-performance light barrier by di-soric. High-performance light barriers are available as threaded and rectangular models, which can be combined with one another. These products penetrate even heavy contamination, such as dust, oil and dirty water. They are optimized for the highest functionality and have a range of up to 50 m.
 
 Features:
 - Integrated amplifier electronics
 - Transistor output with push-pull
 - High function reserve
 - Extremely dirt-resistant
 - Easy adjustment
 - Different designs to be combined
 - High protection type
 - Compact design","High-performance light barriers are available as threaded and rectangular models, which can be combined with one another. These products",https://www.di-soric.com/ix_pim_assets/img/img_Produktbild/pp_osp12vhf-ibsl.png,High performance light barrier | Unbox Industry,11676,"https://www.di-soric.com/ix_pim_assets/img/img_Produktbild/pp_osp12vhf-ibsl.png, https://www.di-soric.com/ix_pim_assets/img/img_Produktbild/pp_osp12vhf-ibsl.png",11,"High-performance light barriers are available as threaded and rectangular models, which can be combined with one another. These products penetrate even heavy contamination, such as dust, oil and dirty water. They are optimized for the highest functionality and have a range of up to 50 m.",30,,,,
simple,High performance light barrier- OEPQ12M20000G1-TSSL,"Unbox Industry presents High-performance light barrier by di-soric. High-performance light barriers are available as threaded and rectangular models, which can be combined with one another. These products penetrate even heavy contamination, such as dust, oil and dirty water. They are optimized for the highest functionality and have a range of up to 50 m.
 
 Features:
 - Integrated amplifier electronics
 - Transistor output with push-pull
 - High function reserve
 - Extremely dirt-resistant
 - Easy adjustment
 - Different designs to be combined
 - High protection type
 - Compact design","High-performance light barriers are available as threaded and rectangular models, which can be combined with one another. These products",https://www.di-soric.com/ix_pim_assets/img/img_Produktbild/pp_ospq12mlf-tssl.png,High performance light barrier | Unbox Industry,13419,"https://www.di-soric.com/ix_pim_assets/img/img_Produktbild/pp_ospq12mlf-tssl.png, https://www.di-soric.com/ix_pim_assets/img/img_Produktbild/pp_ospq12mlf-tssl.png",11,"High-performance light barriers are available as threaded and rectangular models, which can be combined with one another. These products penetrate even heavy contamination, such as dust, oil and dirty water. They are optimized for the highest functionality and have a range of up to 50 m.",30,,,,
simple,High performance light barrier- OEPQ12M5000G1L-5M,"Unbox Industry presents High-performance light barrier by di-soric. High-performance light barriers are available as threaded and rectangular models, which can be combined with one another. These products penetrate even heavy contamination, such as dust, oil and dirty water. They are optimized for the highest functionality and have a range of up to 50 m.
 
 Features:
 - Integrated amplifier electronics
 - Transistor output with push-pull
 - High function reserve
 - Extremely dirt-resistant
 - Easy adjustment
 - Different designs to be combined
 - High protection type
 - Compact design","High-performance light barriers are available as threaded and rectangular models, which can be combined with one another. These products",https://www.di-soric.com/ix_pim_assets/img/img_Produktbild/pp_ospq12mlfl-5m.png,High performance light barrier | Unbox Industry,14585,"https://www.di-soric.com/ix_pim_assets/img/img_Produktbild/pp_ospq12mlfl-5m.png, https://www.di-soric.com/ix_pim_assets/img/img_Produktbild/pp_ospq12mlfl-5m.png",11,"High-performance light barriers are available as threaded and rectangular models, which can be combined with one another. These products penetrate even heavy contamination, such as dust, oil and dirty water. They are optimized for the highest functionality and have a range of up to 50 m.",30,,,,
simple,High performance light barrier- OSP50M20000-IBS/H,"Unbox Industry presents High-performance light barrier by di-soric. High-performance light barriers are available as threaded and rectangular models, which can be combined with one another. These products penetrate even heavy contamination, such as dust, oil and dirty water. They are optimized for the highest functionality and have a range of up to 50 m.
 
 Features:
 - Integrated amplifier electronics
 - Transistor output with push-pull
 - High function reserve
 - Extremely dirt-resistant
 - Easy adjustment
 - Different designs to be combined
 - High protection type
 - Compact design","High-performance light barriers are available as threaded and rectangular models, which can be combined with one another. These products",https://www.di-soric.com/ix_pim_assets/img/img_Produktbild/pp_osp50mxxx-ibs_x.png,High performance light barrier | Unbox Industry,16758,"https://www.di-soric.com/ix_pim_assets/img/img_Produktbild/pp_osp50mxxx-ibs_x.png, https://www.di-soric.com/ix_pim_assets/img/img_Produktbild/pp_osp50mxxx-ibs_x.png",11,"High-performance light barriers are available as threaded and rectangular models, which can be combined with one another. These products penetrate even heavy contamination, such as dust, oil and dirty water. They are optimized for the highest functionality and have a range of up to 50 m.",30,,,,
simple,High performance light barrier- OEP12V20000G1L-5M,"Unbox Industry presents High-performance light barrier by di-soric. High-performance light barriers are available as threaded and rectangular models, which can be combined with one another. These products penetrate even heavy contamination, such as dust, oil and dirty water. They are optimized for the highest functionality and have a range of up to 50 m.
 
 Features:
 - Integrated amplifier electronics
 - Transistor output with push-pull
 - High function reserve
 - Extremely dirt-resistant
 - Easy adjustment
 - Different designs to be combined
 - High protection type
 - Compact design","High-performance light barriers are available as threaded and rectangular models, which can be combined with one another. These products",https://www.di-soric.com/ix_pim_assets/img/img_Produktbild/pp_osp12vlfl-5m.png,High performance light barrier | Unbox Industry,12831,"https://www.di-soric.com/ix_pim_assets/img/img_Produktbild/pp_osp12vlfl-5m.png, https://www.di-soric.com/ix_pim_assets/img/img_Produktbild/pp_osp12vlfl-5m.png",11,"High-performance light barriers are available as threaded and rectangular models, which can be combined with one another. These products penetrate even heavy contamination, such as dust, oil and dirty water. They are optimized for the highest functionality and have a range of up to 50 m.",30,,,,
simple,High performance light barrier- OEPQ12M50000G1-TSSL,"Unbox Industry presents High-performance light barrier by di-soric. High-performance light barriers are available as threaded and rectangular models, which can be combined with one another. These products penetrate even heavy contamination, such as dust, oil and dirty water. They are optimized for the highest functionality and have a range of up to 50 m.
 
 Features:
 - Integrated amplifier electronics
 - Transistor output with push-pull
 - High function reserve
 - Extremely dirt-resistant
 - Easy adjustment
 - Different designs to be combined
 - High protection type
 - Compact design","High-performance light barriers are available as threaded and rectangular models, which can be combined with one another. These products",https://www.di-soric.com/ix_pim_assets/img/img_Produktbild/pp_ospq12mlf-tssl.png,High performance light barrier | Unbox Industry,13419,"https://www.di-soric.com/ix_pim_assets/img/img_Produktbild/pp_ospq12mlf-tssl.png, https://www.di-soric.com/ix_pim_assets/img/img_Produktbild/pp_ospq12mlf-tssl.png",11,"High-performance light barriers are available as threaded and rectangular models, which can be combined with one another. These products penetrate even heavy contamination, such as dust, oil and dirty water. They are optimized for the highest functionality and have a range of up to 50 m.",30,,,,
simple,High performance light barrier- OEPQ12M20000G1L-5M,"Unbox Industry presents High-performance light barrier by di-soric. High-performance light barriers are available as threaded and rectangular models, which can be combined with one another. These products penetrate even heavy contamination, such as dust, oil and dirty water. They are optimized for the highest functionality and have a range of up to 50 m.
 
 Features:
 - Integrated amplifier electronics
 - Transistor output with push-pull
 - High function reserve
 - Extremely dirt-resistant
 - Easy adjustment
 - Different designs to be combined
 - High protection type
 - Compact design","High-performance light barriers are available as threaded and rectangular models, which can be combined with one another. These products",https://www.di-soric.com/ix_pim_assets/img/img_Produktbild/pp_ospq12mlfl-5m.png,High performance light barrier | Unbox Industry,14585,"https://www.di-soric.com/ix_pim_assets/img/img_Produktbild/pp_ospq12mlfl-5m.png, https://www.di-soric.com/ix_pim_assets/img/img_Produktbild/pp_ospq12mlfl-5m.png",11,"High-performance light barriers are available as threaded and rectangular models, which can be combined with one another. These products penetrate even heavy contamination, such as dust, oil and dirty water. They are optimized for the highest functionality and have a range of up to 50 m.",30,,,,
simple,High performance light barrier- OSPQ12MHFL-5M,"Unbox Industry presents High-performance light barrier by di-soric. High-performance light barriers are available as threaded and rectangular models, which can be combined with one another. These products penetrate even heavy contamination, such as dust, oil and dirty water. They are optimized for the highest functionality and have a range of up to 50 m.
 
 Features:
 - Integrated amplifier electronics
 - Transistor output with push-pull
 - High function reserve
 - Extremely dirt-resistant
 - Easy adjustment
 - Different designs to be combined
 - High protection type
 - Compact design","High-performance light barriers are available as threaded and rectangular models, which can be combined with one another. These products",https://www.di-soric.com/ix_pim_assets/img/img_Produktbild/pp_ospq12mlfl-5m.png,High performance light barrier | Unbox Industry,11676,"https://www.di-soric.com/ix_pim_assets/img/img_Produktbild/pp_ospq12mlfl-5m.png, https://www.di-soric.com/ix_pim_assets/img/img_Produktbild/pp_ospq12mlfl-5m.png",11,"High-performance light barriers are available as threaded and rectangular models, which can be combined with one another. These products penetrate even heavy contamination, such as dust, oil and dirty water. They are optimized for the highest functionality and have a range of up to 50 m.",30,,,,
simple,High performance light barrier- OEP12V20000G2L-5M,"Unbox Industry presents High-performance light barrier by di-soric. High-performance light barriers are available as threaded and rectangular models, which can be combined with one another. These products penetrate even heavy contamination, such as dust, oil and dirty water. They are optimized for the highest functionality and have a range of up to 50 m.
 
 Features:
 - Integrated amplifier electronics
 - Transistor output with push-pull
 - High function reserve
 - Extremely dirt-resistant
 - Easy adjustment
 - Different designs to be combined
 - High protection type
 - Compact design","High-performance light barriers are available as threaded and rectangular models, which can be combined with one another. These products",https://www.di-soric.com/ix_pim_assets/img/img_Produktbild/pp_osp12vlfl-5m.png,High performance light barrier | Unbox Industry,12831,"https://www.di-soric.com/ix_pim_assets/img/img_Produktbild/pp_osp12vlfl-5m.png, https://www.di-soric.com/ix_pim_assets/img/img_Produktbild/pp_osp12vlfl-5m.png",11,"High-performance light barriers are available as threaded and rectangular models, which can be combined with one another. These products penetrate even heavy contamination, such as dust, oil and dirty water. They are optimized for the highest functionality and have a range of up to 50 m.",30,,,,
simple,High performance light barrier- OEP12V5000G1L-5M,"Unbox Industry presents High-performance light barrier by di-soric. High-performance light barriers are available as threaded and rectangular models, which can be combined with one another. These products penetrate even heavy contamination, such as dust, oil and dirty water. They are optimized for the highest functionality and have a range of up to 50 m.
 
 Features:
 - Integrated amplifier electronics
 - Transistor output with push-pull
 - High function reserve
 - Extremely dirt-resistant
 - Easy adjustment
 - Different designs to be combined
 - High protection type
 - Compact design","High-performance light barriers are available as threaded and rectangular models, which can be combined with one another. These products",https://www.di-soric.com/ix_pim_assets/img/img_Produktbild/pp_osp12vlfl-5m.png,High performance light barrier | Unbox Industry,12831,"https://www.di-soric.com/ix_pim_assets/img/img_Produktbild/pp_osp12vlfl-5m.png, https://www.di-soric.com/ix_pim_assets/img/img_Produktbild/pp_osp12vlfl-5m.png",11,"High-performance light barriers are available as threaded and rectangular models, which can be combined with one another. These products penetrate even heavy contamination, such as dust, oil and dirty water. They are optimized for the highest functionality and have a range of up to 50 m.",30,,,,
simple,High performance light barrier- OEPQ12M50000G1L-5M,"Unbox Industry presents High-performance light barrier by di-soric. High-performance light barriers are available as threaded and rectangular models, which can be combined with one another. These products penetrate even heavy contamination, such as dust, oil and dirty water. They are optimized for the highest functionality and have a range of up to 50 m.
 
 Features:
 - Integrated amplifier electronics
 - Transistor output with push-pull
 - High function reserve
 - Extremely dirt-resistant
 - Easy adjustment
 - Different designs to be combined
 - High protection type
 - Compact design","High-performance light barriers are available as threaded and rectangular models, which can be combined with one another. These products",https://www.di-soric.com/ix_pim_assets/img/img_Produktbild/pp_ospq12mlfl-5m.png,High performance light barrier | Unbox Industry,14585,"https://www.di-soric.com/ix_pim_assets/img/img_Produktbild/pp_ospq12mlfl-5m.png, https://www.di-soric.com/ix_pim_assets/img/img_Produktbild/pp_ospq12mlfl-5m.png",11,"High-performance light barriers are available as threaded and rectangular models, which can be combined with one another. These products penetrate even heavy contamination, such as dust, oil and dirty water. They are optimized for the highest functionality and have a range of up to 50 m.",30,,,,
simple,High performance light barrier- OEPQ12M20000G2L-5M,"Unbox Industry presents High-performance light barrier by di-soric. High-performance light barriers are available as threaded and rectangular models, which can be combined with one another. These products penetrate even heavy contamination, such as dust, oil and dirty water. They are optimized for the highest functionality and have a range of up to 50 m.
 
 Features:
 - Integrated amplifier electronics
 - Transistor output with push-pull
 - High function reserve
 - Extremely dirt-resistant
 - Easy adjustment
 - Different designs to be combined
 - High protection type
 - Compact design","High-performance light barriers are available as threaded and rectangular models, which can be combined with one another. These products",https://www.di-soric.com/ix_pim_assets/img/img_Produktbild/pp_ospq12mlfl-5m.png,High performance light barrier | Unbox Industry,14585,"https://www.di-soric.com/ix_pim_assets/img/img_Produktbild/pp_ospq12mlfl-5m.png, https://www.di-soric.com/ix_pim_assets/img/img_Produktbild/pp_ospq12mlfl-5m.png",11,"High-performance light barriers are available as threaded and rectangular models, which can be combined with one another. These products penetrate even heavy contamination, such as dust, oil and dirty water. They are optimized for the highest functionality and have a range of up to 50 m.",30,,,,
simple,High performance light barrier- OEPQ12M20000G2-TSSL,"Unbox Industry presents High-performance light barrier by di-soric. High-performance light barriers are available as threaded and rectangular models, which can be combined with one another. These products penetrate even heavy contamination, such as dust, oil and dirty water. They are optimized for the highest functionality and have a range of up to 50 m.
 
 Features:
 - Integrated amplifier electronics
 - Transistor output with push-pull
 - High function reserve
 - Extremely dirt-resistant
 - Easy adjustment
 - Different designs to be combined
 - High protection type
 - Compact design","High-performance light barriers are available as threaded and rectangular models, which can be combined with one another. These products",https://www.di-soric.com/ix_pim_assets/img/img_Produktbild/pp_ospq12mlf-tssl.png,High performance light barrier | Unbox Industry,13419,"https://www.di-soric.com/ix_pim_assets/img/img_Produktbild/pp_ospq12mlf-tssl.png, https://www.di-soric.com/ix_pim_assets/img/img_Produktbild/pp_ospq12mlf-tssl.png",11,"High-performance light barriers are available as threaded and rectangular models, which can be combined with one another. These products penetrate even heavy contamination, such as dust, oil and dirty water. They are optimized for the highest functionality and have a range of up to 50 m.",30,,,,
simple,High performance light barrier- OEP12V50000G1-IBSL,"Unbox Industry presents High-performance light barrier by di-soric. High-performance light barriers are available as threaded and rectangular models, which can be combined with one another. These products penetrate even heavy contamination, such as dust, oil and dirty water. They are optimized for the highest functionality and have a range of up to 50 m.
 
 Features:
 - Integrated amplifier electronics
 - Transistor output with push-pull
 - High function reserve
 - Extremely dirt-resistant
 - Easy adjustment
 - Different designs to be combined
 - High protection type
 - Compact design","High-performance light barriers are available as threaded and rectangular models, which can be combined with one another. These products",https://www.di-soric.com/ix_pim_assets/img/img_Produktbild/pp_ospq12mlf-tssl.png,High performance light barrier | Unbox Industry,11676,"https://www.di-soric.com/ix_pim_assets/img/img_Produktbild/pp_ospq12mlf-tssl.png, https://www.di-soric.com/ix_pim_assets/img/img_Produktbild/pp_ospq12mlf-tssl.png",11,"High-performance light barriers are available as threaded and rectangular models, which can be combined with one another. These products penetrate even heavy contamination, such as dust, oil and dirty water. They are optimized for the highest functionality and have a range of up to 50 m.",30,,,,
simple,High performance light barrier- OSP50M50000-IBS/H,"Unbox Industry presents High-performance light barrier by di-soric. High-performance light barriers are available as threaded and rectangular models, which can be combined with one another. These products penetrate even heavy contamination, such as dust, oil and dirty water. They are optimized for the highest functionality and have a range of up to 50 m.
 
 Features:
 - Integrated amplifier electronics
 - Transistor output with push-pull
 - High function reserve
 - Extremely dirt-resistant
 - Easy adjustment
 - Different designs to be combined
 - High protection type
 - Compact design","High-performance light barriers are available as threaded and rectangular models, which can be combined with one another. These products",https://www.di-soric.com/ix_pim_assets/img/img_Produktbild/pp_osp50mxxx-ibs_x.png,High performance light barrier | Unbox Industry,16758,"https://www.di-soric.com/ix_pim_assets/img/img_Produktbild/pp_osp50mxxx-ibs_x.png, https://www.di-soric.com/ix_pim_assets/img/img_Produktbild/pp_osp50mxxx-ibs_x.png",11,"High-performance light barriers are available as threaded and rectangular models, which can be combined with one another. These products penetrate even heavy contamination, such as dust, oil and dirty water. They are optimized for the highest functionality and have a range of up to 50 m.",30,,,,
simple,High performance light barrier- OSPQ12MLFL-5M,"Unbox Industry presents High-performance light barrier by di-soric. High-performance light barriers are available as threaded and rectangular models, which can be combined with one another. These products penetrate even heavy contamination, such as dust, oil and dirty water. They are optimized for the highest functionality and have a range of up to 50 m.
 
 Features:
 - Integrated amplifier electronics
 - Transistor output with push-pull
 - High function reserve
 - Extremely dirt-resistant
 - Easy adjustment
 - Different designs to be combined
 - High protection type
 - Compact design","High-performance light barriers are available as threaded and rectangular models, which can be combined with one another. These products",https://www.di-soric.com/ix_pim_assets/img/img_Produktbild/pp_ospq12mlfl-5m.png,High performance light barrier | Unbox Industry,11676,"https://www.di-soric.com/ix_pim_assets/img/img_Produktbild/pp_ospq12mlfl-5m.png, https://www.di-soric.com/ix_pim_assets/img/img_Produktbild/pp_ospq12mlfl-5m.png",11,"High-performance light barriers are available as threaded and rectangular models, which can be combined with one another. These products penetrate even heavy contamination, such as dust, oil and dirty water. They are optimized for the highest functionality and have a range of up to 50 m.",30,,,,
